Please provide correct format. Maximum allowed file size is ,Please provide correct format. Maximum allowed file size is 
Validated successfully,Validated successfully
Invalid Api Key,Invalid Api Key
Message,Message
Select Brodcast Device Type,Select Brodcast Device Type
Remove Image,Remove Image
Only .png or .jpg file format accepted. File size should not be more than 2 MB.,Only .png or .jpg file format accepted. File size should not be more than 2 MB.
--Select Product--,--Select Product--
Enable/Disable,Enable/Disable
Facebook App Id,Facebook App Id
Validate App Id,Validate App Id
Enable the Extension,Enable the Extension
This setting will enable/disable entire mobile app functionality.,This setting will enable/disable entire mobile app functionality.
Redirect on Cart Page when Add To Cart,Redirect on Cart Page when Add To Cart
This setting will redirect to cart page or keep on the product page when add to cart is clicked.,This setting will redirect to cart page or keep on the product page when add to cart is clicked.
Display Short Description,Display Short Description
Enable Request Log Reporting,Enable Request Log Reporting
This setting will enable/disable error log reporting for every request to Web Services of the module.,This setting will enable/disable error log reporting for every request to Web Services of the module.
Show App Preview,Show App Preview
This setting will show/hide the app preview.,This setting will show/hide the app preview.
Enable Tab Bar,Enable Tab Bar
This setting will enable/disable the tab bar in the app.,This setting will enable/disable the tab bar in the app.
Show Spin and Win,Show Spin and Win
Show spin and win popup on the mobile App.,Show spin and win popup on the mobile App.
Enable/Disable Fingerprint Login,Enable/Disable Fingerprint Login
This setting will enable/disable Fingerprint login in Mobile App.,This setting will enable/disable Fingerprint login in Mobile App.
Enable/Disable Phone Number Registration,Enable/Disable Phone Number Registration
This setting will enable/disable customer registration and login via phone number verification.,This setting will enable/disable customer registration and login via phone number verification.
Mandatory Phone number at registration,Mandatory Phone number at registration
This setting will set the Phone number field as optional or required.,This setting will set the Phone number field as optional or required.
Select layout for home page,Select layout for home page
Please select,Please select
Disabled Shippping Sethods,Disabled Shippping Sethods
Select shipping methods from the list for which you want to disable this module.You can leave it to empty if you want to enable this module for all shipping methods.,Select shipping methods from the list for which you want to disable this module.You can leave it to empty if you want to enable this module for all shipping methods.
Select shipping methods,Select shipping methods
Enable Whatsapp Chat Support,Enable Whatsapp Chat Support
This setting will enable/disable WHATSAPP chat support option in mobile app.,This setting will enable/disable WHATSAPP chat support option in mobile app.
Chat Number,Chat Number
Enter Chat number with Country code as well.,Enter Chat number with Country code as well.
Enable Live Chat Support,Enable Live Chat Support
This setting will enable/disable live chat support option in mobile app.,This setting will enable/disable live chat support option in mobile app.
Chat API Key,Chat API Key
Enter API Key for Live chat,Enter API Key for Live chat
Enable Url Encoding Of Image Links,Enable Url Encoding Of Image Links
This setting will enable/disable Url encoding of all image links.,This setting will enable/disable Url encoding of all image links.
Look And Feel,Look And Feel
Enable Logo,Enable Logo
Upload logo,Upload logo
Remove logo,Remove logo
App Button Color,App Button Color
Select button color of the app.,Select button color of the app.
App Button Text Color,App Button Text Color
Select button text color of the app.,Select button text color of the app.
App Theme Color,App Theme Color
Select theme color of the app.,Select theme color of the app.
App Background Color,App Background Color
Select background color of the app.,Select background color of the app.
Custom CSS,Custom CSS
Add custom CSS code that you want to be executed on the app,Add custom CSS code that you want to be executed on the app
Edit Payment Method Settings,Edit Payment Method Settings
Something went wrong. Please try again.,Something went wrong. Please try again.
Edit Settings,Edit Settings
Upload Google JSON file,Upload Google JSON file
Only .json file format accepted. File size should not be more than 1 MB.,Only .json file format accepted. File size should not be more than 1 MB.
Uploaded App Id,Uploaded App Id
Uploaded Api Key,Uploaded Api Key
Send New Push Notification,Send New Push Notification
Send,Send
Cancel,Cancel
View Push Notification,View Push Notification
Send New Notification,Send New Notification
Contact Us Page,Contact Us Page
Enable/Disable Contact Us Page,Enable/Disable Contact Us Page
Select Contact Us Page,Select Contact Us Page
Select Product Carousel Type,Select Product Carousel Type
Menu 1,Menu 1
Enable/Disable Menu,Enable/Disable Menu
Menu Title,Menu Title
Enter Tiltle for Menu,Enter Tiltle for Menu
Select Page,Select Page
Menu 2,Menu 2
Menu 3,Menu 3
Menu 4,Menu 4
Category Icon,Category Icon
Select category to add icon,Select category to add icon
Select category to add/edit icon.,Select category to add/edit icon.
Category icon saved successfully.,Category icon saved successfully.
Something went wrong, refresh the page.,Something went wrong, refresh the page.
Invalid File Format, Please select only recommended types..,Invalid File Format, Please select only recommended types..
File size must be less than 1MB,File size must be less than 1MB
Invalid File.,Invalid File.
Add New Layout,Add New Layout
Firebase Server Setting,Firebase Server Setting
Server Key,Server Key
Enter firebase server key,Enter firebase server key
New Order Settings,New Order Settings
Enable/Disable new order push notification,Enable/Disable new order push notification
Title for new order push notification,Title for new order push notification
Message for new order push notification,Message for new order push notification
Order Status Change Settings,Order Status Change Settings
Enable/Disable order status change push notification,Enable/Disable order status change push notification
Title for order status change push notification,Title for order status change push notification
Message for order status change push notification,Message for order status change push notification
